First_Reaction,Second_Reaction
R-HSA-9036949,R-HSA-9036970
R-HSA-9034714,R-HSA-9034862
R-HSA-9034875,R-HSA-9036949
R-HSA-9028728,R-HSA-9032073
R-HSA-9028730,R-HSA-9028728
R-HSA-9032402,R-HSA-9032426
R-HSA-9028728,R-HSA-9031981
R-HSA-9031981,R-HSA-9032067
R-HSA-9032073,R-HSA-9032067
R-HSA-9026464,R-HSA-9032402
R-HSA-9026510,R-HSA-9032402
R-HSA-9024967,R-HSA-9026464
R-HSA-9024906,R-HSA-9024967
R-HSA-9026464,R-HSA-9032841
R-HSA-9032863,R-HSA-9033276
R-HSA-9033284,R-HSA-9033292
R-HSA-9032854,R-HSA-9032863
R-HSA-9033276,R-HSA-9033284
R-HSA-9032841,R-HSA-9032854
R-HSA-9026579,R-HSA-9026894
R-HSA-9026502,R-HSA-9026531
R-HSA-9026464,R-HSA-9026531
R-HSA-9026510,R-HSA-9026531
R-HSA-9026531,R-HSA-9026579
R-HSA-9028505,R-HSA-9028519
R-HSA-9026358,R-HSA-9026377
R-HSA-9026377,R-HSA-9026510
R-HSA-9032582,R-HSA-9032601
R-HSA-9032502,R-HSA-9032532
R-HSA-9032532,R-HSA-9032761
R-HSA-9032761,R-HSA-9032798
R-HSA-9026464,R-HSA-9032502
R-HSA-9032532,R-HSA-9032582
R-HSA-9026890,R-HSA-9028328
R-HSA-9026890,R-HSA-9026891
R-HSA-9026493,R-HSA-9026890
R-HSA-9026464,R-HSA-9026493
R-HSA-9025033,R-HSA-9026366
R-HSA-9026366,R-HSA-9026502
R-HSA-167047,R-HSA-167014
R-HSA-187045,R-HSA-167047
R-HSA-187020,R-HSA-187035
R-HSA-167014,R-HSA-187020
R-HSA-177501,R-HSA-177479
R-HSA-177491,R-HSA-177501
R-HSA-166538,R-HSA-166544
R-HSA-166544,R-HSA-190065
R-HSA-166542,R-HSA-166538
R-HSA-167014,R-HSA-166542
R-HSA-187678,R-HSA-9612996
R-HSA-187661,R-HSA-9613023
R-HSA-109813,R-HSA-5685366
R-HSA-167217,R-HSA-5685366
R-HSA-5685366,R-HSA-5686071
R-HSA-167217,R-HSA-167056
R-HSA-166544,R-HSA-167056
R-HSA-167019,R-HSA-167217
R-HSA-167056,R-HSA-167019
R-HSA-170986,R-HSA-171026
R-HSA-170991,R-HSA-171011
R-HSA-109807,R-HSA-170986
R-HSA-171026,R-HSA-170991
R-HSA-170975,R-HSA-170978
R-HSA-170978,R-HSA-170979
R-HSA-170965,R-HSA-9610163
R-HSA-170964,R-HSA-170977
R-HSA-5674385,R-HSA-9610166
R-HSA-5672980,R-HSA-5674385
R-HSA-109863,R-HSA-5674385
R-HSA-9610154,R-HSA-5674385
R-HSA-109864,R-HSA-5674385
R-HSA-190065,R-HSA-170964
R-HSA-170979,R-HSA-170965
R-HSA-9610156,R-HSA-9610154
R-HSA-9610163,R-HSA-9610152
R-HSA-9610163,R-HSA-9610153
R-HSA-170977,R-HSA-170975
R-HSA-9610153,R-HSA-9610156
R-HSA-169895,R-HSA-169904
R-HSA-169891,R-HSA-169905
R-HSA-169905,R-HSA-169895
R-HSA-169901,R-HSA-9612980
R-HSA-169904,R-HSA-169901
R-HSA-187697,R-HSA-187746
R-HSA-187746,R-HSA-187698
R-HSA-5674387,R-HSA-198756
R-HSA-5674387,R-HSA-198731
R-HSA-198714,R-HSA-198746
R-HSA-5674387,R-HSA-198746
R-HSA-198714,R-HSA-199929
R-HSA-198746,R-HSA-199895
R-HSA-198669,R-HSA-199910
R-HSA-198756,R-HSA-199910
R-HSA-198669,R-HSA-199935
R-HSA-198756,R-HSA-199935
R-HSA-9616105,R-HSA-9616367
R-HSA-9616105,R-HSA-9616110
R-HSA-9612514,R-HSA-9612516
R-HSA-442724,R-HSA-9031610
R-HSA-9612509,R-HSA-9612514
R-HSA-199917,R-HSA-9612514
R-HSA-9612501,R-HSA-9612514
R-HSA-199895,R-HSA-9612514
R-HSA-111919,R-HSA-111916
R-HSA-199935,R-HSA-111916
R-HSA-111912,R-HSA-111916
R-HSA-9612501,R-HSA-111916
R-HSA-442724,R-HSA-111916
R-HSA-199298,R-HSA-111916
R-HSA-9031624,R-HSA-9619838
R-HSA-9621032,R-HSA-9621048
R-HSA-9613476,R-HSA-9612534
R-HSA-9616110,R-HSA-9616368
R-HSA-9620717,R-HSA-9620723
R-HSA-9620663,R-HSA-9620723
R-HSA-9621035,R-HSA-9621042
R-HSA-9612483,R-HSA-9612493
R-HSA-9621385,R-HSA-9621386
R-HSA-9613210,R-HSA-9613213
R-HSA-9612516,R-HSA-9613210
R-HSA-9613451,R-HSA-9613460
R-HSA-9031616,R-HSA-9031624
R-HSA-9031610,R-HSA-9031624
R-HSA-198211,R-HSA-198295
R-HSA-198266,R-HSA-202692
R-HSA-392300,R-HSA-202692
R-HSA-198295,R-HSA-198315
R-HSA-198315,R-HSA-198266
R-HSA-199456,R-HSA-198266
R-HSA-198733,R-HSA-198714
R-HSA-167674,R-HSA-167683
R-HSA-167683,R-HSA-167684
R-HSA-167684,R-HSA-167674
R-HSA-166544,R-HSA-167674
R-HSA-177937,R-HSA-212706
R-HSA-212706,R-HSA-212710
R-HSA-212710,R-HSA-212713
R-HSA-177922,R-HSA-177934
R-HSA-183058,R-HSA-183036
R-HSA-183055,R-HSA-182969
R-HSA-183052,R-HSA-183067
R-HSA-182969,R-HSA-182993
R-HSA-182969,R-HSA-183089
R-HSA-183067,R-HSA-183058
R-HSA-8951490,R-HSA-183084
R-HSA-177934,R-HSA-183055
R-HSA-183072,R-HSA-182990
R-HSA-183002,R-HSA-8951490
R-HSA-183072,R-HSA-182986
R-HSA-8867044,R-HSA-8867041
R-HSA-182994,R-HSA-8867044
R-HSA-8867041,R-HSA-8867047
R-HSA-177927,R-HSA-177939
R-HSA-177926,R-HSA-177923
R-HSA-177944,R-HSA-177926
R-HSA-177930,R-HSA-177927
R-HSA-177944,R-HSA-177924
R-HSA-177934,R-HSA-177941
R-HSA-179467,R-HSA-177941
R-HSA-177920,R-HSA-177941
R-HSA-177941,R-HSA-177930
R-HSA-177939,R-HSA-179467
R-HSA-177930,R-HSA-177944
R-HSA-177944,R-HSA-177935
R-HSA-177943,R-HSA-177938
R-HSA-177934,R-HSA-177943
R-HSA-109813,R-HSA-177943
R-HSA-177937,R-HSA-177943
R-HSA-177946,R-HSA-177942
R-HSA-177922,R-HSA-177937
R-HSA-177933,R-HSA-177936
R-HSA-109813,R-HSA-177936
R-HSA-177934,R-HSA-177925
R-HSA-177936,R-HSA-177945
R-HSA-177925,R-HSA-177933
R-HSA-177942,R-HSA-177922
R-HSA-9674532,R-HSA-9674531
R-HSA-190265,R-HSA-190326
R-HSA-480515,R-HSA-190265
R-HSA-1307955,R-HSA-1307963
R-HSA-5654163,R-HSA-5654151
R-HSA-1307963,R-HSA-5654163
R-HSA-190326,R-HSA-5654163
R-HSA-5654151,R-HSA-5654169
R-HSA-5654659,R-HSA-5654662
R-HSA-177931,R-HSA-5654659
R-HSA-5654418,R-HSA-5654659
R-HSA-177920,R-HSA-177931
R-HSA-5654662,R-HSA-5654717
R-HSA-5654667,R-HSA-5654669
R-HSA-5654669,R-HSA-5654714
R-HSA-177931,R-HSA-5654667
R-HSA-5654655,R-HSA-5654667
R-HSA-5654428,R-HSA-5654423
R-HSA-5654425,R-HSA-5654428
R-HSA-5654423,R-HSA-5654426
R-HSA-1307963,R-HSA-5654425
R-HSA-190326,R-HSA-5654425
R-HSA-1307963,R-HSA-5654422
R-HSA-190326,R-HSA-5654422
R-HSA-5654664,R-HSA-5654663
R-HSA-5654422,R-HSA-5654418
R-HSA-5654653,R-HSA-5654658
R-HSA-5654418,R-HSA-5654658
R-HSA-5654658,R-HSA-8941613
R-HSA-5654658,R-HSA-5654655
R-HSA-5654651,R-HSA-5654653
R-HSA-1307963,R-HSA-5654651
R-HSA-190326,R-HSA-5654651
R-HSA-5654653,R-HSA-5654664
R-HSA-5654418,R-HSA-5654664
R-HSA-5674385,R-HSA-5654566
R-HSA-5654655,R-HSA-5654734
R-HSA-5654734,R-HSA-5654684
R-HSA-1295599,R-HSA-934559
R-HSA-1295622,R-HSA-934604
R-HSA-1295609,R-HSA-1295622
R-HSA-934604,R-HSA-1295621
R-HSA-1295634,R-HSA-1295604
R-HSA-1295599,R-HSA-1295609
R-HSA-1295613,R-HSA-1549564
R-HSA-1295632,R-HSA-1295599
R-HSA-1295609,R-HSA-1295613
R-HSA-5654643,R-HSA-5654709
R-HSA-5654641,R-HSA-5654643
R-HSA-5654637,R-HSA-5654640
R-HSA-5654640,R-HSA-5654705
R-HSA-177931,R-HSA-5654641
R-HSA-5654631,R-HSA-5654641
R-HSA-5654408,R-HSA-5654637
R-HSA-177931,R-HSA-5654637
R-HSA-5654633,R-HSA-5654631
R-HSA-5654623,R-HSA-5654628
R-HSA-5654631,R-HSA-8941628
R-HSA-5654408,R-HSA-5654416
R-HSA-5654628,R-HSA-5654416
R-HSA-190388,R-HSA-5654623
R-HSA-190385,R-HSA-5654623
R-HSA-5654416,R-HSA-5654413
R-HSA-5654409,R-HSA-5654408
R-HSA-190388,R-HSA-5654409
R-HSA-190385,R-HSA-5654409
R-HSA-5654408,R-HSA-5654633
R-HSA-5654628,R-HSA-5654633
R-HSA-5654222,R-HSA-5654148
R-HSA-190388,R-HSA-5654224
R-HSA-190385,R-HSA-5654224
R-HSA-5654224,R-HSA-5654222
R-HSA-5654634,R-HSA-5654646
R-HSA-5654646,R-HSA-5654647
R-HSA-190388,R-HSA-5654625
R-HSA-190385,R-HSA-5654625
R-HSA-5654625,R-HSA-5654634
R-HSA-5654730,R-HSA-5654679
R-HSA-5674385,R-HSA-5654565
R-HSA-5654631,R-HSA-5654730
R-HSA-190263,R-HSA-190385
R-HSA-190261,R-HSA-190388
R-HSA-8851619,R-HSA-8851632
R-HSA-8851632,R-HSA-190261
R-HSA-480515,R-HSA-190261
R-HSA-5654729,R-HSA-5654677
R-HSA-5674385,R-HSA-5654562
R-HSA-5654607,R-HSA-5654729
R-HSA-190258,R-HSA-190413
R-HSA-190260,R-HSA-190408
R-HSA-5654612,R-HSA-5654614
R-HSA-5654397,R-HSA-5654612
R-HSA-177931,R-HSA-5654612
R-HSA-5654620,R-HSA-5654622
R-HSA-5654397,R-HSA-5654620
R-HSA-177931,R-HSA-5654620
R-HSA-5654614,R-HSA-5654701
R-HSA-5654622,R-HSA-5654697
R-HSA-5654605,R-HSA-5654615
R-HSA-5654397,R-HSA-5654615
R-HSA-5654605,R-HSA-5654608
R-HSA-5654397,R-HSA-5654608
R-HSA-190413,R-HSA-5654399
R-HSA-190408,R-HSA-5654399
R-HSA-5654608,R-HSA-5654607
R-HSA-5654607,R-HSA-8941618
R-HSA-5654399,R-HSA-5654397
R-HSA-5654603,R-HSA-5654605
R-HSA-5654615,R-HSA-5654618
R-HSA-190413,R-HSA-5654603
R-HSA-190408,R-HSA-5654603
R-HSA-5654159,R-HSA-5654147
R-HSA-190413,R-HSA-5654159
R-HSA-190408,R-HSA-5654159
R-HSA-5654147,R-HSA-5654157
R-HSA-5654407,R-HSA-5654406
R-HSA-5654404,R-HSA-5654407
R-HSA-190413,R-HSA-5654404
R-HSA-190408,R-HSA-5654404
R-HSA-5654406,R-HSA-5654402
R-HSA-480515,R-HSA-190245
R-HSA-190245,R-HSA-190427
R-HSA-190268,R-HSA-191062
R-HSA-480515,R-HSA-190256
R-HSA-190256,R-HSA-190429
R-HSA-5674385,R-HSA-5654560
R-HSA-5654673,R-HSA-5654672
R-HSA-5654587,R-HSA-5654673
R-HSA-5654571,R-HSA-5654578
R-HSA-5654569,R-HSA-5654575
R-HSA-5654575,R-HSA-5654586
R-HSA-5654578,R-HSA-5654586
R-HSA-190429,R-HSA-5654571
R-HSA-190427,R-HSA-5654571
R-HSA-191062,R-HSA-5654571
R-HSA-5654584,R-HSA-5654587
R-HSA-5654586,R-HSA-5654392
R-HSA-5654575,R-HSA-5654584
R-HSA-5654578,R-HSA-5654584
R-HSA-190429,R-HSA-5654569
R-HSA-190427,R-HSA-5654569
R-HSA-191062,R-HSA-5654569
R-HSA-5654587,R-HSA-8941623
R-HSA-5654573,R-HSA-5654582
R-HSA-5654582,R-HSA-5654597
R-HSA-190429,R-HSA-5654573
R-HSA-190427,R-HSA-5654573
R-HSA-191062,R-HSA-5654573
R-HSA-5654597,R-HSA-5654600
R-HSA-190429,R-HSA-5656064
R-HSA-190427,R-HSA-5656064
R-HSA-191062,R-HSA-5656064
R-HSA-5654594,R-HSA-5654596
R-HSA-5654596,R-HSA-5654692
R-HSA-5654591,R-HSA-5654690
R-HSA-177931,R-HSA-5654594
R-HSA-177931,R-HSA-5654592
R-HSA-5654575,R-HSA-5654592
R-HSA-5654592,R-HSA-5654591
R-HSA-190429,R-HSA-5654167
R-HSA-190427,R-HSA-5654167
R-HSA-191062,R-HSA-5654167
R-HSA-5654167,R-HSA-5654149
R-HSA-5654149,R-HSA-5654165
R-HSA-186773,R-HSA-389083
R-HSA-382053,R-HSA-8865275
R-HSA-186773,R-HSA-389086
R-HSA-382053,R-HSA-8865276
R-HSA-186785,R-HSA-186773
R-HSA-8865276,R-HSA-186773
R-HSA-8865275,R-HSA-186773
R-HSA-382053,R-HSA-382057
R-HSA-1524186,R-HSA-1524182
R-HSA-389083,R-HSA-186819
R-HSA-389086,R-HSA-186819
R-HSA-186786,R-HSA-186819
R-HSA-382056,R-HSA-382052
R-HSA-389083,R-HSA-382055
R-HSA-389086,R-HSA-382055
R-HSA-186786,R-HSA-382055
R-HSA-389083,R-HSA-186826
R-HSA-389086,R-HSA-186826
R-HSA-186786,R-HSA-186826
R-HSA-186819,R-HSA-380780
R-HSA-389083,R-HSA-380782
R-HSA-389086,R-HSA-380782
R-HSA-186786,R-HSA-380782
R-HSA-186786,R-HSA-186798
R-HSA-186765,R-HSA-1524186
R-HSA-389083,R-HSA-382056
R-HSA-389086,R-HSA-382056
R-HSA-186786,R-HSA-382056
R-HSA-389083,R-HSA-186765
R-HSA-389086,R-HSA-186765
R-HSA-186786,R-HSA-186765
R-HSA-389083,R-HSA-382058
R-HSA-389086,R-HSA-382058
R-HSA-186786,R-HSA-382058
R-HSA-186826,R-HSA-186834
R-HSA-186780,R-HSA-186800
R-HSA-389083,R-HSA-186778
R-HSA-389086,R-HSA-186778
R-HSA-186786,R-HSA-186778
R-HSA-389083,R-HSA-186780
R-HSA-389086,R-HSA-186780
R-HSA-186786,R-HSA-186780
R-HSA-382057,R-HSA-382061
R-HSA-389086,R-HSA-8864036
R-HSA-186786,R-HSA-8864036
R-HSA-186785,R-HSA-382054
R-HSA-382053,R-HSA-186785
R-HSA-186773,R-HSA-186786